method,rho_label,rho,q0,delta,true_break,qhat,estimated_break,break_abs_error,el_stat,p_value,reject_5,feasible,score,score_variance,rss,strength,score_gap_stable_minus_estimated,rep,T,K,min_size,grid_step,penalty
stable,0.50,0.5,0,0.0,,0,,,0.003367758501071433,0.953722827049178,False,True,-0.036784239817602565,0.4013395071477633,251.3158607945735,0.3623446558178979,0.0,33,240,4,60,4,0.75
oracle,0.50,0.5,0,0.0,,0,,,0.003367758501071433,0.953722827049178,False,True,-0.036784239817602565,0.4013395071477633,251.3158607945735,0.3623446558178979,0.0,33,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,0,,,0.003367758501071433,0.953722827049178,False,True,-0.036784239817602565,0.4013395071477633,251.3158607945735,0.3623446558178979,0.0,33,240,4,60,4,0.75
stable,0.50,0.5,0,0.0,,0,,,0.09707890401596592,0.7553636296206747,False,True,0.17172111006104182,0.30325744280098815,225.3348332947606,0.353745010065404,0.0,34,240,4,60,4,0.75
oracle,0.50,0.5,0,0.0,,0,,,0.09707890401596592,0.7553636296206747,False,True,0.17172111006104182,0.30325744280098815,225.3348332947606,0.353745010065404,0.0,34,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,0,,,0.09707890401596592,0.7553636296206747,False,True,0.17172111006104182,0.30325744280098815,225.3348332947606,0.353745010065404,0.0,34,240,4,60,4,0.75
stable,0.50,0.5,0,0.0,,0,,,0.2066685825077259,0.6493911605441832,False,True,0.2594028661966174,0.3260143490364495,267.04453726074485,0.3160923085227655,0.0,35,240,4,60,4,0.75
oracle,0.50,0.5,0,0.0,,0,,,0.2066685825077259,0.6493911605441832,False,True,0.2594028661966174,0.3260143490364495,267.04453726074485,0.3160923085227655,0.0,35,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,0,,,0.2066685825077259,0.6493911605441832,False,True,0.2594028661966174,0.3260143490364495,267.04453726074485,0.3160923085227655,0.0,35,240,4,60,4,0.75
stable,0.50,0.5,0,0.0,,0,,,0.7431658900631783,0.38864861420439967,False,True,-0.47564146592189727,0.30236229442314044,212.7804227185075,0.34073190752775984,0.0,36,240,4,60,4,0.75
oracle,0.50,0.5,0,0.0,,0,,,0.7431658900631783,0.38864861420439967,False,True,-0.47564146592189727,0.30236229442314044,212.7804227185075,0.34073190752775984,0.0,36,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,0,,,0.7431658900631783,0.38864861420439967,False,True,-0.47564146592189727,0.30236229442314044,212.7804227185075,0.34073190752775984,0.0,36,240,4,60,4,0.75
stable,0.50,0.5,0,0.0,,0,,,1.008054168294719,0.3153694517425827,False,True,-0.5926682485511017,0.3564575868075554,250.49700267045753,0.35893616374105275,0.0,37,240,4,60,4,0.75
oracle,0.50,0.5,0,0.0,,0,,,1.008054168294719,0.3153694517425827,False,True,-0.5926682485511017,0.3564575868075554,250.49700267045753,0.35893616374105275,0.0,37,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,0,,,1.008054168294719,0.3153694517425827,False,True,-0.5926682485511017,0.3564575868075554,250.49700267045753,0.35893616374105275,0.0,37,240,4,60,4,0.75
stable,0.50,0.5,0,0.0,,0,,,0.9073316406975669,0.34082340563667046,False,True,-0.6066025791886173,0.4057566650590678,262.0314076400077,0.37433452738703943,0.0,38,240,4,60,4,0.75
oracle,0.50,0.5,0,0.0,,0,,,0.9073316406975669,0.34082340563667046,False,True,-0.6066025791886173,0.4057566650590678,262.0314076400077,0.37433452738703943,0.0,38,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,0,,,0.9073316406975669,0.34082340563667046,False,True,-0.6066025791886173,0.4057566650590678,262.0314076400077,0.37433452738703943,0.0,38,240,4,60,4,0.75
stable,0.50,0.5,0,0.0,,0,,,0.02535863855670574,0.8734766712485333,False,True,0.09381617577033692,0.3479429310163618,232.73949323309742,0.3226259140306376,0.0,39,240,4,60,4,0.75
oracle,0.50,0.5,0,0.0,,0,,,0.02535863855670574,0.8734766712485333,False,True,0.09381617577033692,0.3479429310163618,232.73949323309742,0.3226259140306376,0.0,39,240,4,60,4,0.75
estimated,0.50,0.5,0,0.0,,0,,,0.02535863855670574,0.8734766712485333,False,True,0.09381617577033692,0.3479429310163618,232.73949323309742,0.3226259140306376,0.0,39,240,4,60,4,0.75
stable,0.50,0.5,0,0.0,,0,,,0.18488208847782178,0.6672107920075929,False,True,-0.26306060412213855,0.3775016880788534,233.0606378179005,0.3585537034706712,0.0,40,240,4,60,4,0.75
